eCalc  -  Multicopter Calculator                    all data without guarantee - Accuracy:  /-15%


Project Name;;RD-B1;RD-B1;RD-B1;RD-B1;

Battery;;LiPo 3000mAh - 65/100C;LiPo 3000mAh - 65/100C;LiPo 3000mAh - 65/100C;LiPo 3000mAh - 65/100C;
Configuration:;;3S1P;3S1P;3S1P;3S1P;
Load:;C;15.64;12.25;12.62;15.48;
Voltage:;V;10.58;10.69;10.68;10.58;
Rated Voltage:;V;11.10;11.10;11.10;11.10;
Energy:;Wh;33.3;33.3;33.3;33.3;
Total Capacity:;mAh;3000;3000;3000;3000;
max. discharge:;;85%;85%;85%;85%;
Used Capacity:;mAh;2550;2550;2550;2550;
min. Flight Time:;min;3.3;4.2;4.0;3.3;
Mixed Flight Time:;min;9.0;8.6;8.6;8.8;
Hover Flight Time:;min;13.8;11.8;12.0;13.3;
Weight:;g;252;252;252;252;
;oz;8.9;8.9;8.9;8.9;


Controller;;max 20A;max 20A;max 20A;max 20A;
Current:;A cont.;20;20;20;20;
;A max;20;20;20;20;
Weight:;g;25;25;25;25;
;oz;0.9;0.9;0.9;0.9;


Accessories;;
Current drain:;A;0;0;0;0;
Weight:;g;0;0;0;0;
;oz;0;0;0;0;


Motor @ Maximum;;KDEDirect KDE1806XF-2350 (2350);Lumenier RX1806-14** (2300);SunnySky X1806S-2300 (2300);Xnova 1806-2300 (2300);
Gear Ratio:;: 1;1;1;1;1;
Weight:;g;18;22;20.5;21;
;oz;0.6;0.8;0.7;0.7;
Current:;A;11.73;9.19;9.47;11.61;
Voltage:;V;10.46;10.60;10.59;10.47;
Revolutions*:;rpm;20663;18414;18576;20597;
electric Power:;W;122.7;97.4;100.2;121.5;
mech. Power:;W;99.3;70.4;72.4;98.3;
Efficiency:;%;80.9;72.3;72.3;80.9;
est. Temperature:;°C;43;44;46;41;
;°F;109;111;115;106;


Motor @ Hover
Propeller;;GWS (0°)  5" x 3";GWS (0°)  5" x 3";GWS (0°)  5" x 3";GWS (0°)  5" x 3";
# Blades:;;3;3;3;3;
Current:;A;2.77;3.25;3.20;2.89;
Voltage:;V;10.95;10.92;10.93;10.94;
Revolutions*:;rpm;11611;11762;11706;11724;
Throttle (log):;%;37;48;46;38;
Throttle (linear):;%;52;61;60;53;
Power-Weight:;W/kg;182.3;208.8;207.0;186.4;
;W/lb;82.7;94.7;93.9;84.5;
Efficiency:;%;81.7;72.5;72.7;80.8;
specific Thrust:;g/W;5.56;4.87;4.91;5.44;
;oz/W;0.2;0.17;0.17;0.19;
est. Temperature:;°C;29;32;32;29;
;°F;84;90;90;84;


Total Drive;;
Drive Weight:;g;466;484;477;480;
;oz;16.4;17.1;16.8;16.9;
Power-Weight:;W/kg;727.9;563.0;584.8;707.0;
;W/lb;330.2;255.4;265.3;320.7;
Thrust-Weight:;: 1;2.5;1.9;2.0;2.4;
Current @ Hover:;A;11.08;13.01;12.78;11.55;
P(in) @ Hover:;W;123.0;144.5;141.9;128.2;
P(out) @ Hover:;W;99.1;103.0;101.6;102.1;
Efficiency @ Hover:;%;80.6;71.3;71.6;79.6;
Current @ max:;A;46.93;36.75;37.87;46.44;
P(in) @ max:;W;520.9;407.9;420.3;515.5;
P(out) @ max:;W;397.0;281.5;289.8;393.2;
Efficiency @ max:;%;76.2;69.0;68.9;76.3;


Multicopter
# of Rotors:;;4 - flat;4 - flat;4 - flat;4 - flat;
All-up Weight:;g;674;692;685;688;
;oz;23.8;24.4;24.2;24.3;
add. Payload:;g;791;465;496;756;
;oz;27.9;16.4;17.5;26.7;
max Tilt:;°;63;53;55;62;
max. Speed:;km/h;68;55;56;67;
;mph;42.2;34.2;34.8;41.6;
est. rate of climb:;m/s;12.5;8.6;9.0;12.2;
;ft/min;2461;1693;1772;2402;
with Rotor fail:;;uncontrolable;uncontrolable;uncontrolable;uncontrolable;


Remarks:;;0;0;0;0;

Statement for using this calculator: All values are calculated and may deviate from the real. Before flight you have to recheck the actual max. values. All max. values must stay within the limits of the manufacturers. A commercial use is forbidden. We reject any liability! 

(c) by Solution for All   -   6.70, 07.04.16
